aah|00867440
shrink_from|02469127
shrinkwrap|01286605
shrive|00905665
shrivel|00242575,00152378
shrivel_up|00242575
shroud|01585121,02755643,01303023
shrug|00033948
shrug_off|00744118
shuck|00198331,00180104
shudder|00014194,01892939
shuffle|01921542,02016825,01421321
shun|00813811,02509666
shunt|02016079,02069813
shush|00391412
shut|01347791,01349660,02454205
shut_away|01350360
shut_down|02431242
shut_in|01589983
shut_off|02686341,02035671,01480024
shut_one's_mouth|00939649
shut_out|02454205
shut_up|01042933,01350360,00462448
shutter|01245560
shuttle|02066009
shuttlecock|01149898
shy|01914673,01512124
shy_away_from|00813657
sibilate|01057276,01056271,01056058,01055643
sic|01117424
sick|00076153
sicken|01812341,00087206,02199637,00087961
side|01151427
side-slip|01875035
sideline|02404821
sidestep|00811316
sideswipe|01276818
sidetrack|02070232
sidle|01873292,01873189
sidle_up|01808720
sieve|02405520,01463223,01462658,00677687
sieve_out|00679463
sift|02103105,01462658,01463223,00677687
sigh|00004032,00987832
sight|02168177,02203821
sight-read|01719384
sight-sing|01719643
sightread|01719384
sightsee|01847846
sightsing|01719643
sign|00998530,02470289,00890750,02415071,01041202,01500958,00931122,00868895
sign_away|02348812
sign_in|00968184
sign_off|00976063
sign_on|02415071
sign_over|02348812
sign_up|02415071,01099720
signal|01041202,00923271
signalise|02301945,01041202,00926583,00924409
signalize|02301945,01041202,00926583,00924409
signify|00933814,00934286,01041726
signpost|00924291
silence|00462448,00463920
silhouette|02142756,01684516
silkscreen|01753362
silt|01482175
silt_up|01482175
silver|01398147,00290294,00283412
silver-plate|01398982
silverplate|01398982
simmer|00325032
simmer_down|01767681
simonise|01248054
simonize|01248054
simper|00029329
simplify|00401333
simulate|01746767,01726857,01725631
sin|02571602,02572142
sing|01734912,01733312,01069838,01045759,00939238
sing_along|01732492
singe|00379192,00583820
single|01412028
single-foot|01964350
single_crochet|01677200
single_out|00681158,02517971
single_stitch|01677200
singsong|01052037,02099974
singularise|00924612
singularize|00924612
sink|01989937,01990883,01976145,01993887,01975943,02043524,00433792,01992900,01532886
sink_in|00593150,01460583
sinter|01664990
sip|01172967
siphon|01857528,01616295
siphon_off|01857528
sire|00054345
siss|01056058,01055643
sit|01545905,02698724,01988916,02028720,02147248,01961388,02697056,02461692,01546780,01097992
sit_around|02698724
sit_back|00026934,02379190
sit_by|02379190
sit_down|01988916,01546780,01545905
sit_in|02619175,02549179
sit_out|02732418,00672097
sit_tight|00118730
sit_up|00020252,02102958
site|02338685
situate|02700775,01578506
size|01613182,00657658,00320015
size_up|02157817
sizz|01056058,01055643
sizzle|00864255,01771670,00378577
skank|02052535
skate|01940612
skate_over|02521921
skateboard|01941654
skedaddle|02080011
sketch|01701523,01008466
skew|00467397
skewer|01447182
ski|01942285
ski_jump|01969338
skid|01874860,01979135,01875210,01874268
skim|01946577,01250114,02156708,01518556,01263827,01263582,00629486
skim_off|01263582,00679364
skim_over|00629486,01250114
skimcoat|01364839
skimp|02522103,02515522,02350494,02230521
skimp_over|02521921
skin|01925765,01312138,01266348,01265500
skin-dive|01967137
skin_over|00098843
skin_pop|01202299
skinny-dip|01966505
skip|00618188,02619895,01970868,02014550,01896727,01518556
skip-bomb|01135306
skip_over|00618188
skip_town|00428511
skipper|02451866
skirl|02182290,01730639
skirmish|01126191
skirt|00811316,02056014,02709571,01469999
skitter|01906398,01892041,01518556,01451510
skittle|01149163
skive|01251610
skreak|02176108,01050811
skreigh|01050811
skulk|02646137,02469555,01922514
skunk|01106104
sky|01515257
sky_dive|01972052
skydive|01972052
skyjack|01474881
skylark|01887709
skyrocket|01947945
slabber|00102728
slack|02469765,00618051,00537615,00442167,00441535,00246175,00245945,00215050
slack_off|00245945
slack_up|00442167
slacken|00441535,00442167,00422361,00422078
slacken_off|00156293
slag|00586984
slake|01206641,00246175,00215050
slalom|01942896
slam|01245396,01244955,01901878,01245253
slam-dunk|02608682,01600753
slam_dance|01901878
slam_on|01367700
slander|00848188
slang|00966142,00856586,00847337
slant|02698400,00682404,02042202,01888570
slap|01419525
slap_on|01367700
slap_together|01626402
slash|01325339,01413739,01325173,00431214,01894785
slat|02341680,01223092
slate|00711673,02402248,01341050
slather|01382114
slaughter|01325518,00480107
slave|02426299
slaver|00102728
slay|02488014
sled|01943033
sledge|01958600,01850041,01419386
sledgehammer|01419386
sleek|01248550
sleek_down|00038400
sleek_over|02152539
sleep|00014735,02707305
sleep_around|02099668
sleep_in|00015799,01179611
sleep_late|00015799
sleep_off|02292887
sleep_out|01179802
sleep_over|02658824
sleep_together|01429048
sleep_with|01429048
sleepwalk|01920953
sleet|02765212
sleigh|01943033
slenderise|00326971
slenderize|00326971,00045548
sleuth|00787352
slew|02037140,01874268
slice|01561837,01411612,01257041,01126815
slice_into|01920026
slice_through|01920026
slice_up|01257041
slick|01248550,00038400
slick_down|00038400
slick_up|00294739,00043009
slide|01874268,01890481,02095257
slide_by|02076777
slide_down|01992900
slight|00619103
slim|00045548
slim_down|00045548
slime|01255294
sling|01516980,02109731,02109618,01604468
slink|01921116
slip|01892288,00190001,01874268,00204753,02080527,00619438,02236110,02109827,02080748,00610532,00466675
slip_away|02080274,02076777
slip_by|02076777
slip_in|01027611
slip_off|00051087
slip_on|00050887
slip_one's_mind|00610532
slip_up|00619747
slit|01561837,01561665
slither|01890481
sliver|02474697,00338713,00144134
slobber|00102728
slobber_over|01831687
slog|02420703,01925197,01418239
sloganeer|01702029
slop|01544989,01925584,01582337,01180517
slope|02040935
slosh|02191314,01925584,01377252
slosh_around|01377252
slot|00681031
slouch|01993734,01933777
slough|00009140
slough_off|02227628,01257476
slow|00440913,00441535,00441741
slow_down|00440913,00441535,00441741,00439450,00026378
slow_up|00441535,00441741,00440913
slue|02037140,01874268
slug|01418239,02422604
sluice|02764357,00456323,01857987,01857868
sluice_down|02764357
slum|02498343
slumber|00014735
slump|01993734,01992900,00433792,01975617
slur|01731745,01046763,01046683,00311895
slur_over|02521921
slurp|01171608
slush|02191314,01377252
slush_around|01377252
smack|01417570,02199169,02198941,01434512,01199846
smart|02126629
smarten_up|00294739,00043009
smash|01404426,00336733,02323145,02108651,01804206,01569486,01564365,01564190,01085987,00335459
smash_up|01569486
smatter|02421160,01039522,00965993
smear|01254989,01254492,01235951,00848188
smell|02129213,02128137,02128797,02199169,00590864
smell_out|02129925,00590864
smell_up|02130487
smelt|01685808
smile|00028558,01069534
smirch|01255165,00848188
smirk|00029329
smite|01399298,01773334,00260813
smock|01681404
smoke|01200739,02773880
smoke_out|02060778
smolder|00378240,01776620
smooch|01428360
smooth|01255535,01248201,02318078
smooth_out|02318078
smooth_over|02521921
smoothen|01255535,01248201,00548301
smother|01571714,01572009,01571411,02755508,01571845
smoulder|01776620,00378240
smudge|01254492
smuggle|02350852
smut|00584836,00287558,00210907,00088906
smutch|01254492
snack|01175702
snaffle|02309628,01303391
snafu|00403923
snag|01330894,02358084,01263157
snail|01385571
snake|01892158,02744851,01887203
snap|00918227,01576346,00337875,01897764,00356324,02187297,02093216,01442364,01405526,01244772,01788114,01448920,01005294
snap_at|01448375
snap_back|00092772
snap_off|01301517
snap_up|02309628
snare|01483400,00785089
snarf|02281711
snarl|00918227,00918473,01465557,00403738
snarl_up|00403738
snatch|01442364,01215710,01473673
snatch_up|01442364
sneak|01915881,02603446,02281711,02236110
sneak_away|02080274
sneak_in|01231430,01027611
sneak_off|02080274
sneak_out|02080274
sneak_up|01997244
sneer|00032771,00032532
sneeze|00004819
snick|01411143,01261705
snicker|00030003
sniff|02129497,00007549
sniff_out|02129925
sniffle|00067045,00007549
snigger|00030003
snip|01459092,01323662
snip_off|01459092
snipe|01138109,01137927,00864347
snitch|02327226,00843665
snivel|01044403,00101533,00067045
snog|01433863
snooker|02584469,01076599
snoop|00787352
snooze|00015296
snore|00017024
snorkel|01967802
snort|01046945,00006523,01202883,01202393
snow|02764935,00840873
snow-blind|02173274
snowball|00158192,01510798
snowboard|02109138
snowmobile|01961132
snowshoe|02107729
snub|01061436,00800201
snuff|02130617,00109067
snuff_it|00359085
snuff_out|00479148,02767855
snuffle|02130617,00101533,00067045
snuggle|01427599,01427999
soak|01581362,02324030,00216642,02352216,01400524,01193027,01192810,00457106,00372810
soak_through|01608613
soak_up|01541851,00602438
soap|00036925
soar|01947577,01959667,01947197,00155214,01946818
soar_up|01947577
soar_upwards|01947577
sob|00066900
sober|00149289,00149116,00148938
sober_up|00148938,00149116
socialise|02394092,02391987,00406978,00406778
socialize|02394092,02391987,00406978,00406778
sock|01399742
sod|01338393
sodomise|02574487,02574307
sodomize|02574487,02574307
soft-pedal|00841943
soft-soap|00771498,00771400
soft-solder|01598526
soften|02195078,00390886,02709149,01579748,01059908,00256275,00255753
soil|01536935
sojourn|02715296
solace|01818782
solarise|02118916,02118539,02118333,02117029
solarize|02118916,02118539,02118333,02117029
solder|01598181
soldier|01099442
sole|00534483
solemnise|02585332,02495397,00580642
solemnize|02585332,02495397,00580642
solicit|00784104,02540158,00783699,00773178,00755779
solidify|00446422,00446124
soliloquise|00966510
soliloquize|00966510
solmizate|01735234,01734265
solo|01945846,01718899
solvate|00447650,00447469
solve|00636568,00735067,00763499
somersault|01871683
somnambulate|01920953
sonnet|01707589,01707472
soot|01265034
soothe|01818782,00063687
sop|02289274,01608613,01580344,00216642
sop_up|01541851,01200618
sophisticate|02393906,00934760,00489366,00403296
sorb|01543237
sorcerise|00383946
sorcerize|00383946
sorrow|01801358
sort|02405520,00656296
sort_out|00656296,00622730,02559125
sough|01048687
sound|02139392,02180712,02139513,02184975,00954214,02183962,00492625
sound_off|01029677,01654652,00909100
sound_out|00980581,00810733
soundproof|00496441
soup|00084999
soup_up|00171010
sour|00459426,02201136
source|02243318,00668640
souse|00216642,01579924,01192810,00322602
sovietise|02438966,01748147
sovietize|02438966,01748147
sow|01503512,00971402,01503986
sow_in|01503986
sow_one's_oats|01194712
sow_one's_wild_oats|01194712
space|01992094
spacewalk|01910195
spade|01312909
spam|01034587
span|02691213
spang|01239505
spangle|02167614,01673801
spank|01423582
spar|02367699,01422958,01422848,00775967
spare|02470006,02570589,02350643,01160800
sparge|01894216,00229081
spark|01647199,02772645
spark_off|01647199
sparkle|02772348,00473934,02772645,00520443
spat|02763140,01541573,01240625,00863593,00776862,00056543,00034108
spatchcock|01669227,01643134
spatter|01376685,02763786,01541417
spawn|01652566,00056397
spay|00060248
speak|00944022,00964479,00965602,00991233,02140072
speak_for|02547838
speak_in_tongues|00935201
speak_of_the_devil|00884203
speak_out|01029677
speak_up|01029677,00918076
spear|01447506,02720075
spear_up|02720075
spearhead|02445473
specialise|02451029,01023982,00438687,00438402,00119074
specialize|00438402,01023982,00438687,02451029,00119074
speciate|00119074
specify|01020937,00949109,02617665,01023982,00717446,00711208,00679602
speck|01275970
speckle|01541257,01541098
spectate|02156130
speculate|00635105,00929020,00632042,02276935
speech-read|00629632
speechify|00992040
speed|02062918,00439133,02059573,02059899,00440298
speed_skate|01942147
speed_up|00439133,00440298
spell|00939909,00934598,01703755,02417496,01066582,00121195
spell_out|01007949,01704008,00939909
spellbind|01825070,00779567,00020919
spelunk|00651540
spend|02714280,02271905,02272374
spend_a_penny|00071765
spew|00101710,00076824,00076153
spew_out|00076824
sphacelate|00097148
spice|00560996,02197016
spice_up|02197016,00560996
spiel|01728336,00965187
spiel_off|00947680
spiff_up|00294739
spike|02563916,01446945,01308835,00295480,00222561,00157027
spike_out|00295480
spill|01544989,02073816,01544361,01544585,00954873,00430595
spill_out|02074078
spill_over|01766953,02074078
spill_the_beans|00939238
spin|02050704,02071990,02052000,01643042,01642906,01521405,00955732,00319507
spin-dry|00215789
spin_around|02050704
spin_off|00345838
spin_out|00319507
spiral|02053139,02744419,02053510
spirit|00193474
spirit_away|01437633,01435547
spirit_off|01437633
spirit_up|00193474
spiritise|01232195
spiritize|01232195
spiritualise|00625619,00477244
spiritualize|00625619,00581589,00477244
spirt|02072341,01888119
spit|00101710,01047190,02763786,01447182
spit_out|00102057,01047190,00006238
spit_up|02204855,00006238
spite|01797206
splash|01377432,01925584,01376685,01339546,02191314,01537397,01377960
splash_around|02424713
splat|02177957,00465086,00464546
splatter|01544989,01376685
splay|02049604,02049364,00466675
splice|01562966,02495105,01562816,01562650
splint|00083414
splinter|02541123,02474697,00338713
split|02473085,01559354,02436167,02034003,00310092
split_up|02496283,02473085,02436167,00334996
splosh|02191314,01925584,01377432,01376685
splotch|01535117
splurge|02273848,02146886
splutter|00988929,00102057
spoil|02533317,00210685,00203443,02576182,02563998,01829703,01568253,00478872
spondaise|01707054
spondaize|01707054
sponge|01395317,02275249,01551839,01396265,01386300
sponge_down|01253359,00036678
sponge_off|01253359
sponge_on|01367577
sponge_up|01542275
sponsor|02224722,02224930,02471557
spoof|00851619
spook|01834907
spool|02238315,01525666
spoon|01582471,01428360
spoonfeed|01181935,00789538
sport|02637740,01887709
sportscast|00971292
sporulate|01756536,00116304
spot|02158742,02197640,01540949,01534786,00511039,00510688
spot-check|00666029
spot-weld|01598977
spot_jam|01059581
spot_promote|02403456
spotlight|00515150,00293130
spotweld|01598977
spout|02072341,01053828
sprain|00090876
sprawl|01546208,02036072
spray|01376509,01375347,01376216
spray-dry|00216087
spread|01381221,01382787,02695141,01582662,00970243,00971905,02086937,02064069,01614805,01614650
spread-eagle|00027563,02696419,01940926,01546408,01106659
spread_out|02064069,01363418,02086937,02081395,02049364,02032840,01582662
spread_over|01210571
spreadeagle|01106659
spree|01184856
spring|01967949,02629987,01896097,00095025,00937859
spring-clean|01536639
spring_to_mind|00610906
spring_up|02630344
sprinkle|01378910,01377432,02763786,00229081
sprint|01932532
spritz|01316440,01316252
sprout|00357986,00095131
spruce|00294739,00043009
spruce_up|00294739,00043009
spud|01446109,00357986
spue|00101710,00076153
spume|00512936
spur|02560355,01822802,01244054,01243817,01243943
spurn|00798638
spurt|02072341,01888119
sputter|02190806,00557078,01925765,00988929,00102057
spy|02158742,00787352,02168177,00787132
squabble|00776101
squall|01049135,00915018,02775977
squander|02273196,01160479
square|00145268,00641798,02665734,01991507,02665619,02258149,01127390,01127254
square_away|00276642
square_dance|01902886
square_off|00765444
square_up|00145268,01991662,00765444
squash|01596858
squat|01548096,02731437,02655814
squawk|01050811,00912926
squeak|02176108
squeak_by|02594620,01250248
squeak_through|01250248
squeal|01056566,00821169
squeegee|01395444
squeeze|01596858,01450487,01530059,02510211,02245889,02098847,01459400,01427110,01390440
squeeze_by|02594620
squeeze_for|02511717
squeeze_out|02409218,02244779,01352000,02244628,01679675,01378302
squelch|00464147,02183723,01925584,01596858
squinch|02067153,02064997,00008595
squint|00008595,02172514,00008792
squire|02030049
squirm|01872363
squirrel_away|02310836
squirt|01378302,01316071
squish|01925584,01616493
stab|01234216,01232914,01232540
stabilise|01222557,00272745,00271625
stabilize|00271625,01222557,00272745
stable|02465338
stack|01506584,01506036,01467410
stack_away|02285938
stack_up|01506930
staff|01091160,01098150
stag|02602272,00843665,00787352
stage|01715304,01651668
stage_direct|01715195
stagger|01928835,01929123,01506762,01814093
stagnate|02731161,02730942,02730710,02422604
stain|00286768,00287365,01540197,00284175
stake|02550969,01141530,01594397,01594861,01574834
stale|00072650
stalemate|01079596
stalinise|00570164
stalinize|00570164
stalk|01928101,02008023,02005284
stall|02648322,01866326,00461510,02465493,01866762,01866626,01866482
stammer|00983576
stamp|01929291,01275580,02149107,01276378,00657963,00479419,01627605,01597283,01534053
stamp_down|00463047
stamp_out|00355692
stampede|02091072,02600625,02600446,02060224
stanch|00355106
stand|01548893,02617408,02740363,02707980,00670017,00672910,02712985,02708878,02708228,01549550,01118334,01430836
stand_back|02661794,01549415
stand_by|02732260,02644528,02644714
stand_fast|00820824
stand_firm|01119003,00820824
stand_for|00837915,00933814,02705339,00671017
stand_guard|02460581
stand_in|02263424
stand_out|02680375,02679754,01936805,01119398
stand_pat|00820824
stand_sentinel|02460581
stand_still|01838427
stand_up|01987278,01119504,01549550,01548893,00897237,02624768,01987611
stand_watch|02460581
standardise|00684355,00468630
standardize|00468630,00684355
staple|01369772
star|02637430,01724857,00511950
starboard|01936922
starch|00418781
stare|02137210,00033399
stare_down|02137454
stargaze|02137762,01641175
start|00346415,00349400,02018017,02614382,01631641,01654152,01914366,01861703,01868216,02384670,01077557,02614858,02606945,02086193
start_out|00346415,02018017
start_up|01861703,01654152
startle|01825572,01914366
starve|01190677,01190070,01190273,01191018,01190481
stash|02310836
stash_away|02285938
state|01011267,00879667,01063503
station|01091334
staunch|00355106
stave|02367797,00311056
stave_in|00336507,00311056
stave_off|02458770
stay|00117793,01861378,02643286,02733337,02013215,00461855,02736899,02625202,02565847,01347325,01196647
stay_at|02655702
stay_away|02661794
stay_fresh|02740675
stay_in_place|01852297
stay_off|00813382
stay_on|02733337
stay_over|02658824
stay_put|01861378
stay_together|02493017
stay_up|00020252
steady|00417496,01222557
steady_down|00416323
steal|02326737,01892288,01113883
steal_away|02080274
steam|01948835,02774537,01974286,01791138,01247889,00327955
steam-heat|02338595
steam_clean|01247889
steamer|01948835
steamroll|02511456,02378669,01113072,00464919
steamroller|02511456,02378669,01597435,01113072,00464919
steel|01810238,01617811
steel_oneself_against|00274056
steel_onself_for|00274056
steep|00602438,00328172
steepen|00537887,00537758
steer|01935739,01938963,02444597
stem|02633834,02718940,00355106,00176147
stencil|01753468
stenograph|01695401
step|01932791,02095677,02569531,02522260,02335243,02096152,02095956,01259051,00491658,00124467
step_down|02387509,00291502
step_forward|02093441
step_in|02544431,02399804
step_on|02096306
step_on_it|02062918
step_out|02020253
step_to_the_fore|02093441
step_up|00291064,00440804,02093441
stereotype|00657963
sterilise|00062353,00061366
sterilize|00062353,00061366
stet|02607677,01072990
stew|01809351,01777926,00324657
stick|01530857,01861378,01359453,02759907,02653900,02644929,02644714,01671864,01617485,01617330,01617139,01444612,01444412,01223449,00750090,00624056
stick_about|02644528
stick_around|02644528,01861378
stick_by|02644714
stick_in|01027611,00187671
stick_on|01365133,01359073
stick_out|02719247,02680375,00670017
stick_to|01359453,00352060
stick_together|02493017
stick_up|02282293,00897237
stick_with|00352060
stickle|00775831
stiffen|00419488,00418521,00419690
stifle|01571411,00391513,01478810,00360165
stigmatise|02513894,00509726
stigmatize|02513894,00509726
still|01768652,00462448,01819152,00584982
still-fish|01147934
still-hunt|01144629
stimulate|00504245,00772482,01765558,00022679,01648064,02120601,00795741
sting|02124916,01448026,00750090,02127889,01797753
stink|02679962,02128571
stink_out|02130487
stink_up|02130487
stint|02350494,02230521
stipple|01754110,01699668,01685107,01541257
stipulate|01020937,01021481,00890547
stir|01898313,01897981,02120601,01765558,01774723,01633150,01898157,01544249
stir_fry|00327260
stir_up|02591135,01764964,01422127,00852919
stitch|01331921
stock|02290237,02334879,02334729,02334574,02328282,02328055,00095131
stock-take|02477918
stock_up|02328282
stockade|01133356
stockpile|02290237
stoke|02444021
stomach|01200264,00670017
stomp|01929291
stone|01326182,00179712
stone-wash|01539564
stonewall|01036804,00461087
stonewash|01539564
stooge|01849047,01724350,00013851
stool|00785906,00720569,00095349,00073791
stoop|02066560,02523493,02068540,02041528,01604606
stoop_to|00911087
stop|01864781,02686624,02565578,01866904,01863207,00363001,01133899,01442997,02615799,01480632,00363263
stop_dead|01838672
stop_over|02659017,01866904
stop_up|01425540
stopper|01223200
stopple|01223200
store|02285938,02287351
storm|02728891,01589521,02776128,02775858,01128477
stow|01495891
stow_away|02150605
straddle|02711773,02696226,02711692
strafe|01138568
straggle|02070232,02036072
straighten|02039626,01371262,01986058,00276642,01489811,00278705
straighten_out|00208463,01466149,00167742,01371262,00622730,00276642
straighten_up|01986700
strain|01148517,01802463,01167895,01462658,00025196,01575559,01461293,01253038,00477675
straiten|02609431,01391225
strand|02233137,02091644,02026332
strangle|01573763,01571411,00360059,00237139,00077703,00077451
strangulate|01573763,01391307,00305609
strap|01292095,01413739,00393562,00083276
stratify|02518474,00508033,02518714,01311341,00052562
straw|01611244,01380788
stray|01885173,01929647,00782620
streak|02091872,01931283,01700030
stream|02074607,00068783,02032212,02763991,02074394
streamline|01693794
street-walk|02559943
streetwalk|02559943
strengthen|00221295,00220887,00101031
stress|01015376,00985365,01802463
stretch|02613865,00027261,02058913,00241696,00319617,01989285,01452184,00542826,00488684,00153949,00101188
stretch_along|02613865
stretch_forth|00027698
stretch_out|02058913,01989285,00027698,00101188,00028160
strew|01380788,01211516
striate|00510014
strickle|01588311,01310668
stride|01923704,01916702
stridulate|02176740
strike|01412877,01771801,01238728,01126313,00925593,01211755,02417777,02618011,02532477,01212046,00143360,02291532,01678968,01552202,02113245,02108439,01986409,01661889,01642647,01310668,01230799,00637566
strike_a_blow|00137611
strike_a_chord|00593581,01773141,01763770
strike_a_note|01773141
strike_back|01155631
strike_down|02482757,01328616,01260866
strike_dumb|01772685
strike_hard|01241204
strike_home|01773141
strike_off|00802412
strike_out|00802412,01511912,02534499,01940220,01156641,00347368
strike_up|01654652,01645853
string|01362135,00190721,01997837,01363274,01363126,01363019,01361848
string_along|01997837
string_out|01363418
string_up|02491069,00190721
strip|02319255,00049617,01266043,00489553,00195256,02349564,01611610,01266223,00195156,00195040,00194878,00194423,00177253
strip-search|01321130
strip_down|00049617
strip_mine|01166397
stripe|01275827
strive|02536865,01148517
stroke|01228534,01127034,01127148,00882179
stroll|01921973
strong-arm|02521109,01785339,01400361
strop|01249523
structure|00405129
struggle|02412468,01507690,01925765,01092746
strum|02184806
strut|01920627
stub|01569964,01213186,00314155,00102174
stub_out|00479613
stucco|01682174,01263935
stud|02695724,01360726
study|00646245,00608800,02170904,00601387,00608509,00706154
stuff|01527659,02098847,01481963,01195632,00498636,00321949,00321482
stultify|01805062,00855127,00226258
stumble|01905126,01904401,02211244,00619747
stump|00622051,01929291,01096795,00195565
stun|00269854,01412733,02119913
stunt|02457844,01717207
stupefy|02120101,00624056,00269854
stutter|00983576
style|01030475,01670789,00995653
stylise|01691464
stylize|01691464
stymie|02563025
stymy|02563025
sub|02263424
subcontract|02466486,02466306
subdivide|00334087,00333876
subdue|02428975,00463047,01805829,01111038,00580789,00202809
subedit|00629787
subject|02115410,01120710,02502465
subjoin|01331708
subjugate|02428975,02502465
sublease|02214043
sublet|02214043
sublimate|01957386,00553215,00476114,00366673,00366463
sublime|00366463,00366673
subluxate|00091265
submarine|01874667,01515553,01242752,01227921,01122221
submerge|01995486,01341976,01581103,00218126
submerse|01995486,01581103
submit|00880167,00879667,01120499,02267560,02595169,00879879,00671680,01075052,02315308,00734417
subordinate|00661206,00580789
suborn|02587361,00836837,00836622
subpoena|00795080
subrogate|02365881
subscribe|02304071,00998530,00807976,02304230,02214527
subscribe_to|02214527
subserve|02554285
subside|00233328,01990381,01990199,01975943
subsidise|02221793,02221492
subsidize|02221492,02221793
subsist|02622766
substantiate|00667804,02704285,01648288,00221839
substitute|02262575,02263424,02399804
subsume|02640748,00687125
subtend|02699684
subtilise|00393460
subtilize|00651886,00553215,00393460
subtitle|02337307
subtract|00642914,00588144
suburbanise|00122826,00122661
suburbanize|00122826,00122661
subvent|00891261
subvention|00891261
subvert|02407551,02585532,02549304,01567809
subvocalise|00981699
subvocalize|00981699
succeed|02529837,02411715
succor|02554407
succour|02554407
succumb|00806138,02626546
succuss|01894344
suck|01171984,01858874,02771650,02680129,02121653,01541851,01188961
suck_in|01200618,02771650,01284745
suck_out|01543481
suck_up|01541851,01808720,00882499
suckle|01189918,01188961
suction|01858665,00073337
sudate|00067316
suds|01538864,00512936
sue|02588127
suffer|02113644,00065410,01798679,00670017,00205112,00064841,02125976,00078154,02725682,02114536,00205234
suffice|02675578
suffix|01300709
suffocate|01572009,01478810,00391905,00391723,00360165,00106166,00077451
suffuse|00455206,00455606
sugar|02200397
sugarcoat|02200824,01035814
suggest|00876925,00929401,00932768,00932330
suit|02708690,02741157,02705783,02730133
sulfate|00587063
sulfur|00517827
sulfurette|01464514
sulk|02724891
sully|01540747,01540197,00848188
sulphur|00517827
sulphurette|01464514
sum|02758570,00951320
sum_up|01009951,02758570,00951320
summarise|02758570,01009951
summarize|01009951,02758570
summate|00951320,02383274
summer|02715648
summerise|00409373
summerize|00409373
summit|02025001
summon|00792796,01043634,01633724,01384203,00271014
summons|00792796
sun|00103901,02117029
sunbathe|00103901
sunburn|00104053
sunder|00336624
suntan|00103780
sup|01208079
superannuate|02385560,00819796,00538130,00538001
supercharge|00498142,00404516
superfetate|00067621
superimpose|01471892
superinfect|00088724
superintend|02447914
superordinate|00660290
superpose|01472074,01471892
superscribe|01695991,01695822
supersede|02410532
supervene|00342077
supervene_upon|02410532
supervise|02447914,02167732
supinate|02094510
supplant|02410532
supple|00583994
supplement|02347128,02758806,01331387
supplicate|00760672,00761132,00760932
supply|02332196,02484912,01185006,01029183
support|02561834,02223876,02459338,01219607,00667804,00807976,02669418,00896689,01724650,00910574,00670017
suppose|00919271,00633399,00635105,00718436,00718250
suppress|00463047,02429499,02428558,00614373,00153784
suppurate|00096933,00096520
surcharge|02325753,02324030,02031880,01752270,01491343,01491184,00925452
surf|01951936,01317993,00552688
surface|01994295,01266847,00424655
surface-mine|01166397
surface_mine|01166397
surfboard|01951936
surfeit|02338221,01194371
surge|02045051,01947577,01907749,01889232,00168025
surmise|00690947,00923043
surmount|01111038,02700390,02003114,01108050
surpass|02679754,01108050,02055618,02675266
surprise|00727236,02602490,01128477
surrender|01118003,02240011
surround|01469999,01571714,01129837,01133033
surtax|02313095
surveil|02203116
survey|00648195,02154758,02203116,00698466,00649582,00648391
survive|02624202,02626004,02622766,02625819
suspect|00923043,00689827,00926844
suspend|01483784,00148583,02507686,00364146,00543748,02649824
suspire|00004032,00001740
suss_out|00663742
sustain|02685340,00065410,01205348,01187158,01219607,00820083,00667804
susurrate|01046249
suture|01298740
swab|01246742,01235758
swaddle|01302857
swag|01989538,01928835,01880427
swage|01258938
swagger|01920627,01037071,00012427
swallow|01204494,01086180,01585330,00943068,00800738,00739357,00670723,00603054
swallow_up|01585330
swamp|02777522,01527311
swan|01013058,01885173,01873886
swank|02146446
swap|02263812,01842972
swarm|02720849,02032212
swash|02093349,01376685,00884747,00012427
swat|01399591
swathe|01302857
swatter|01378123
sway|01879288,01881348,02592213,01880021
swear|00867051,01013058,00891468,01015049,00714537
swear_in|01019510
swear_off|00886335
swear_out|01441318
sweat|00067316
sweat_off|00045739
sweep|01874036,01873556,01396368,02683607,02691213,01396650,01103363,02694245,01596684
sweep_away|01624256,01774291
sweep_off|01774291
sweep_over|01813288
sweep_through|02528247
sweep_under_the_rug|02376560
sweep_up|02683607,00603217
sweet-talk|00770823
sweeten|02199916,00520934
swell|00556161,02602905,00257393,02632486,01995218,00258536
swell_up|00257393
swelter|00078069,00069518
swerve|02037140
swig|01418239,01204688
swill|01180517,01171713
swill_down|01171713
swim|01964770,01908286,02761938,02761786,01908642
swindle|02578034
swing|02092012,01881348,01881613,02542904,01596684,02723347,01154506,00558293,02621193,02758152,02394957,01729252,01430116
swing_about|01882942
swing_around|01882942
swing_out|01596684
swing_over|02542904
swinge|00379192
swipe|01396854,02281711
swirl|02052840,02051599
swish|02192644
switch|00140571,02263812,00551194,00380830,01512805,01414284,00121486
switch-hit|01416373
switch_off|01513208
switch_on|01513031
switch_over|00140571
swivel|02050521
swob|01246742,01235758
swoon|00023639
swoop|02068286,02068687,01442629
swoop_up|01442629
swoosh|02192644
swop|02263812
swosh|02192644
swot|00607178
swot_up|00607178
syllabicate|01566117
syllabify|01566117
syllabise|01566117,00982020
syllabize|01566117,00982020
syllogise|00655120
syllogize|00655120
symbolise|00989629,00837915
symbolize|00837915,00989629
symmetrise|00553696
symmetrize|00553696
sympathise|01826674,01826198,00595453
sympathize|01826674,00595453,01826198
sympathize_with|01825946
symphonise|01730929
symphonize|01730929
